P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Arachis_ipaensis	Arachis_hypogaea	Arachis_duranensis	11.096495058098485	0.0	0.4737903225806452	3493.0	284.0	5.0	262.0	0.0	233.0	1.0	1.0	236.0	333.0	83.0	1.0	2.0	81.0	1.0
Arachis_hypogaea	Arachis_duranensis	Medicago_truncatula	3.2078265092803218	0.0006687745337681239	0.7391304347826088	1534.0	163.0	66.0	86.0	31.0	123.0	50.0	33.0	152.0	526.0	145.0	41.0	45.0	82.0	37.0
Arachis_hypogaea	Arachis_duranensis	Glycine_max	5.672293244100247	7.0648263905681574e-09	0.5611111111111111	1533.0	164.0	39.0	111.0	33.0	135.0	32.0	36.0	133.0	523.0	161.0	40.0	36.0	96.0	33.0
Arachis_hypogaea	Arachis_ipaensis	Medicago_truncatula	3.3655401797571116	0.00038202370963769106	0.7226277372262774	1533.0	163.0	67.0	87.0	30.0	128.0	49.0	39.0	148.0	521.0	139.0	40.0	51.0	81.0	38.0
Arachis_hypogaea	Arachis_ipaensis	Glycine_max	5.452704620554182	2.486357808528794e-08	0.5549132947976878	1532.0	164.0	40.0	113.0	31.0	136.0	36.0	41.0	132.0	517.0	153.0	40.0	38.0	95.0	37.0
Arachis_hypogaea	Arachis_duranensis	Arachis_ipaensis	3.4566726615492125	0.0002734918331708247	0.09696969696969696	1713.0	7.0	2.0	151.0	2.0	121.0	2.0	1.0	18.0	873.0	17.0	1.0	2.0	119.0	1.0
Glycine_max	Arachis_duranensis	Arachis_ipaensis	3.6979573684536597	0.00010870123714723512	0.2426470588235294	2064.0	93.0	55.0	126.0	17.0	138.0	23.0	10.0	56.0	457.0	34.0	17.0	19.0	93.0	5.0
Glycine_max	Arachis_hypogaea	Arachis_ipaensis	3.77796244816558	7.908401073808413e-05	0.2357142857142857	2069.0	93.0	50.0	128.0	15.0	142.0	21.0	10.0	54.0	459.0	33.0	15.0	19.0	94.0	5.0
Glycine_max	Arachis_duranensis	Arachis_ipaensis	3.6979573684536597	0.00010870123714723512	0.2426470588235294	2064.0	93.0	55.0	126.0	17.0	138.0	23.0	10.0	56.0	457.0	34.0	17.0	19.0	93.0	5.0
Glycine_max	Arachis_hypogaea	Arachis_ipaensis	3.77796244816558	7.908401073808413e-05	0.2357142857142857	2069.0	93.0	50.0	128.0	15.0	142.0	21.0	10.0	54.0	459.0	33.0	15.0	19.0	94.0	5.0
